Type,FID,beta.sor,beta.sim,beta.sne,LSP,MAT,MAP,TA,PA,TSN,PSN,PCP,CWE,LSD,GMD,NVT,PDC,PSA
subtropical evergreen broad-leaved forest,204,0.227192982,0.1496139,0.077579083,130,21.58035149,1621.25,2.830351472,104.25,590.7722082,68.71374236,0.234275824,0.004170647,0.858039246,51981.84691,7,0.051944444,0.737209382
subtropical evergreen broad-leaved forest,205,0.207911684,0.126774848,0.081136836,125,21.61888187,1692.833333,3.118881901,182.3333333,584.2932913,69.12891737,0.256153599,0.003913765,0.8562149,23574.47372,8,0.049233333,0.770622036
subtropical evergreen broad-leaved forest,206,0.185077519,0.105319149,0.07975837,119,21.77280906,1757.833333,3.106142362,166.6666667,579.74037,68.31557029,0.262925554,0.003767924,0.864463819,0,8,0.047488889,0.741159952
subtropical evergreen broad-leaved forest,207,0.197651663,0.138655462,0.058996201,117,21.71986195,1789.75,2.969861925,108.5,575.5997708,66.96381373,0.264135167,0.003744378,0.85851845,0,8,0.045511111,0.654217663
subtropical evergreen broad-leaved forest,208,0.281076067,0.177282378,0.103793689,117,22.07767534,1756.666667,3.244342049,50,579.7035923,65.56903837,0.255783221,0.003777416,0.84743063,0,8,0.044344444,0.476365193
subtropical evergreen broad-leaved forest,209,0.266478873,0.173857868,0.092621005,114,22.09582459,1688.833333,3.262491306,149.1666667,573.327451,65.54549607,0.253103743,0.003927403,0.841637178,0,8,0.0390375,0.371874383
subtropical evergreen broad-leaved forest,210,0.282882883,0.185538881,0.097344002,106,22.05498269,1735.833333,3.554982742,202.5,568.7208192,66.78774675,0.268310303,0.003905752,0.84565856,0,9,0.0369125,0.447689906
subtropical evergreen broad-leaved forest,211,0.274278215,0.093442623,0.180835592,101,21.97909108,1813.5,3.729091167,249,566.6403994,68.36581089,0.281144464,0.003632809,0.851607827,0,9,0.037525,0.63876617
subtropical evergreen broad-leaved forest,212,0.258362989,0.110921502,0.147441488,92,21.69090629,1846.666667,4.190906207,301.3333333,553.3807507,68.87321974,0.288009108,0.003189367,0.854550603,0,9,0.049575,0.734869844
subtropical evergreen broad-leaved forest,213,0.238698011,0.098501071,0.14019694,82,20.91257983,1774.5,4.245913227,354,530.9040137,67.08262724,0.283495585,0.002827869,0.853830188,0,8,0.060628571,0.74926002
subtropical evergreen broad-leaved forest,214,0.177639752,0.072829132,0.10481062,76,21.22874732,1640.25,4.478747427,303.75,533.1976756,65.81606649,0.276151755,0.002636931,0.845876199,0,7,0.070783333,0.72932257
subtropical evergreen broad-leaved forest,215,0.204216074,0.047318612,0.156897462,73,21.20266322,1594.666667,4.869329929,201.8333333,529.7287608,66.65526832,0.263049951,0.002603544,0.854464452,0,9,0.056283333,0.615050401
Tropical rain forest,216,0.157509158,0.037656904,0.119852254,69,21.63317002,1572.5,4.966503302,85.66666667,535.8163341,68.7232144,0.252495566,0.002501117,0.862108992,0,8,0.03818,0.507120891
subtropical evergreen broad-leaved forest,221,0.150197628,0.022727273,0.127470356,51,22.90376249,2366.833333,4.903762579,162.6666667,397.7763317,100.6775195,0.387580534,0.028965192,0.850112273,0,11,0.020633333,0.348894702
subtropical evergreen broad-leaved forest,222,0.185863874,0.034161491,0.151702384,51,14.49890793,2739.333333,3.998908003,251,354.1977781,77.44681431,0.399081698,0.029550315,0.856038732,0,11,0.015475,0.422907954
subtropical evergreen broad-leaved forest,223,0.087804878,0.031088083,0.056716795,51,21.35338875,2210,4.353388786,277,355.2747776,63.90051262,0.421127874,0.030656634,0.867760253,0,10,0.02476,0.668557964
Tropical rain forest,225,0.236820084,0.182795699,0.054024385,113,18.91144964,1394.833333,5.411449671,54.5,395.3883816,89.43081816,0.206706984,0.007257619,0.842158409,0,13,0.079066667,0.691970446
subtropical evergreen broad-leaved forest,226,0.27077748,0.195266272,0.075511208,119,17.54826735,1315.111111,5.10382292,54.66666667,397.0406104,88.02946842,0.201620794,0.007284024,0.835808783,0,13,0.0798875,0.702917996
subtropical evergreen broad-leaved forest,227,0.321819714,0.233333333,0.08848638,130,18.61025119,1285.777778,4.943584442,36.88888889,403.9873884,87.90124706,0.201913721,0.007291427,0.830643687,0,10,0.076744444,0.730335844
subtropical evergreen broad-leaved forest,228,0.330721003,0.254799302,0.075921701,140,18.82192533,1257.166667,4.488591989,15.16666667,396.1083403,87.59048265,0.214384235,0.007088998,0.831075416,0,8,0.0816,0.739521059
subtropical evergreen broad-leaved forest,229,0.328808446,0.241908007,0.08690044,140,17.6535879,1219.555556,4.098032289,24,396.4125308,86.36606554,0.23398668,0.006802009,0.83834445,7370.328016,10,0.085822222,0.737682072
subtropical evergreen broad-leaved forest,230,0.317272053,0.191395961,0.125876092,144,18.29187963,1197.111111,3.847435183,67.77777778,403.0759408,85.26292072,0.240519271,0.006644873,0.846082721,14979.18148,11,0.093822222,0.744639201
subtropical evergreen broad-leaved forest,231,0.309489051,0.137648131,0.17184092,143,18.91032111,1182.333333,3.410321116,126.3333333,412.5868372,85.2376603,0.246662649,0.006661165,0.851509145,18395.59428,11,0.100233333,0.727208291
subtropical evergreen broad-leaved forest,232,0.308633094,0.098499062,0.210134032,148,17.68522684,1102.444444,2.796337922,36.44444444,414.7337633,87.00420082,0.24980149,0.00679625,0.853249364,17898.09254,9,0.103366667,0.684718868
subtropical evergreen broad-leaved forest,233,0.320910973,0.101369863,0.21954111,156,16.48704858,1081,2.709270769,65.22222222,423.0887904,87.58684225,0.251362129,0.007198261,0.855169804,13030.66606,7,0.101811111,0.627597807
subtropical evergreen broad-leaved forest,234,0.344603381,0.153652393,0.190950988,156,16.29257643,1148.222222,2.73702089,172.7777778,436.3762269,86.95813413,0.262608683,0.007537655,0.856318051,8665.240426,7,0.095666667,0.615686044
subtropical evergreen broad-leaved forest,235,0.338370565,0.170510708,0.167859857,155,15.61493235,1257,2.781599045,234.3333333,448.4324489,85.50267432,0.269551572,0.007346521,0.858233969,5351.337165,7,0.0894,0.617153919
subtropical evergreen broad-leaved forest,236,0.321403992,0.157264957,0.164139034,157,16.14967014,1295.555556,3.038559013,293.5555556,464.6410911,86.2958617,0.277313623,0.006699657,0.855575591,2759.257507,8,0.085488889,0.652121596
subtropical evergreen broad-leaved forest,237,0.342229199,0.236794171,0.105435028,160,16.23247106,1321.333333,3.010248846,241.6666667,485.2839223,85.65946315,0.276317378,0.005843296,0.850841362,671.9518797,8,0.0831875,0.696307574
subtropical evergreen broad-leaved forest,238,0.363554758,0.282388664,0.081166094,170,16.61064052,1311.333333,3.443973819,153,492.0491852,86.25627135,0.268059309,0.005325418,0.848258129,0,8,0.079128571,0.766668571
